"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT101","1","Battery_Cell","","","","Battery1:1x18650",""
"C101,C102","2","22uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C103,C104,C105","3","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C201","1","1000uF - 16V","","","","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm",""
"C202","1","100uF - 35V","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C501,C502,C601","3","1µF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C602","1","10nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C603","1","470pF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"D101","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D201,D202","2","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D401","1","LED_RED","","","","LED_THT:LED_D3.0mm",""
"D402","1","LED_GREEN","","","","LED_THT:LED_D3.0mm",""
"D403","1","LED_YELLOW","","","","LED_THT:LED_D3.0mm",""
"FB601","1","CBG201209U252T","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"J101","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J102","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J201","1","Terminal_01x04","","","","Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_4-G-7,62_1x04_P7.62mm_Horizontal",""
"L101","1","22uH","","","","CDRH104:CDRH104",""
"Q201,Q202","2","AO3400A","","","","AO3400A:SOT95P280X125-3N",""
"Q301,Q302","2","BSS138","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R101","1","2.2K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R201,R203","2","100R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R202,R204","2","4.7k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R301,R302,R303,R304","4","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R401,R402,R403","3","220R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R501","1","1K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R502","1","10K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"RV101","1","100K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW_HIGH401,SW_START401,SW_STOP401","3","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H4.3mm",""
"U101","1","TP4056","","","","TP4056_Module:TP4056_Module",""
"U102","1","MT3608","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf"
"U401","1","ZC323000","","","","STM32F103C8T6:STM32F103C8T6",""
"U501","1","ADS1115IDGST","","","","ADS1115:ADS1115_MSOP10",""
"U601","1","MPXV5050GP","","","","MPXV5050GP:SOIC127P600X175-8N",""
